measure,location,sex,age,cause,metric,year,val,upper,lower
Incidence,Global,Both,All Ages,Malaria,Number,2014,228667461.3,276451235.1,189008728.5
Incidence,Global,Both,All Ages,Malaria,Percent,2014,0.006093021,0.00747233,0.004993108
Incidence,Global,Both,All Ages,Malaria,Rate,2014,3121.226407,3773.457274,2579.899349
Incidence,Global,Both,All Ages,Tuberculosis,Number,2014,8384264.952,9559393.248,7364208.489
Incidence,Global,Both,All Ages,Tuberculosis,Percent,2014,0.000223392,0.000255909,0.000193687
Incidence,Global,Both,All Ages,Tuberculosis,Rate,2014,114.4421205,130.4821878,100.5187265
Incidence,Global,Both,All Ages,Malaria,Number,2016,222823501.6,277711076,181635951.3
Incidence,Global,Both,All Ages,Malaria,Percent,2016,0.005787704,0.00727374,0.004680196
Incidence,Global,Both,All Ages,Malaria,Rate,2016,2973.135091,3705.500268,2423.569402
Incidence,Global,Both,All Ages,Tuberculosis,Number,2015,8363648.192,9531674.638,7353149.846
Incidence,Global,Both,All Ages,Tuberculosis,Percent,2015,0.000220153,0.000252107,0.000190885
Incidence,Global,Both,All Ages,Tuberculosis,Rate,2015,112.8706481,128.6336141,99.23358437
Incidence,Global,Both,All Ages,Tuberculosis,Number,2016,8377484.834,9521205.222,7394280.122
Incidence,Global,Both,All Ages,Tuberculosis,Percent,2016,0.000217587,0.000247925,0.000188756
Incidence,Global,Both,All Ages,Tuberculosis,Rate,2016,111.7808218,127.0414887,98.66191645
Incidence,Global,Both,All Ages,Malaria,Number,2015,223574830,272672466.1,182614139.2
Incidence,Global,Both,All Ages,Malaria,Percent,2015,0.005885459,0.007283077,0.004746355
Incidence,Global,Both,All Ages,Malaria,Rate,2015,3017.228293,3679.81977,2464.448021
Incidence,Global,Both,All Ages,Tuberculosis,Number,2017,8421952.587,9563867.459,7440409.29
Incidence,Global,Both,All Ages,Tuberculosis,Percent,2017,0.000215784,0.000245462,0.000187138
Incidence,Global,Both,All Ages,Tuberculosis,Rate,2017,111.1367436,126.2055413,98.18422162
